"Name,Phenylalanine,Protein,Carbohydrates,Total_fat,Calories,Home_measure,Home_phenylalanine,Home_weight,Category,Color"
"MEVALIA PKU GMPOWER miško uogu,64,45,27,1.7,302, 1 pakelis,15,22.6,Amino rugštys,Žalia"
"MEVALIA PKU GMPOWER pinakolada,61,41,33,1.5,320,1 pakelis,15,24.4,Amino rugštys,Žalia"
"MEVALIA PKU GMPOWER vanile,61,43,32,1.7,319,1 pakelis,14,23.4,Amino rugštys,Žalia"
"MEVALIA PKU BALANCE apelsinu,0,70,4.9,0,301, 1 porcija,0,195,Amino rugštys,Žalia"
"MEVALIA PKU BALANCE,0,70,5.7,0,302,1 porcija,0,195,Amino rugštys,Žalia"
"MEVALIA LATTIS pieno pakaitalas,12,0.3,9.1,2.7,62,-,-,-,Maisto produktai su sumažintu baltymu kiekiu,Geltona"
"MEVALIA COOKIES sausainiai,31,0.7,78,17,471,1 sausainis,3,10,Maisto produktai su sumažintu baltymu kiekiu,Geltona"
"MEVALIA FRUIT BAR batonelis su braškiu idaru,22,0.6,72,14,424,1 batonelis,6,25,Maisto produktai su sumažintu baltymu kiekiu,Geltona"
"MEVALIA CHOCOTINO šokoladas,14,0.4,47,42,583,1 plytele,4,25,Maisto produktai su sumažintu baltymu kiekiu,Geltona"
"MEVALIA FROLLINI sausainiai,27,0.7,84,15,476,1 sausainis,2,7,Maisto produktai su sumažintu baltymu kiekiu,Geltona"
"MEVALIA DITALI makaronai,21,0.5,81,1.1,351,1 porcija,17,80,Maisto produktai su sumažintu baltymu kiekiu,Geltona"
"MEVALIA FUSILLI makaronai,21,0.5,81,1.1,351,1 porcija,17,80,Maisto produktai su sumažintu baltymu kiekiu,Geltona"
"MEVALIA PENNE makaronai,21,0.5,81,1.1,351,1 porcija,17,80,Maisto produktai su sumažintu baltymu kiekiu,Geltona"
"MEVALIA SPAGHETTI spageciai,18,0.5,81,1.6,355,1 porcija,14,80,Maisto produktai su sumažintu baltymu kiekiu,Geltona"
"MEVALIA RICE ryžiai,20,0.5,79,1.3,343,1 porcija,16,80,Maisto produktai su sumažintu baltymu kiekiu,Geltona"
"Agurkai,23,0.7,2.9,0.1,13,1 mažas,12,50,Daržove,Geltona"
"Rauginti agurkai,33,1.0,1.9,0.1,11,1 mažas,17,50,Daržove,Geltona"
"Artišokai,72,2.4,2.6,0.1,22,1 vnt.,50,15,Daržove,Geltona"
"Baklažanai,49,1.1,6.3,0.1,21,1 vnt.,113,230,Daržove,Geltona"
"Bazilikai,93,3.1,5,1,41,Šakele,5,2,Daržove,Geltona"
"Brokoliai,124,3.0,5.2,0.4,27,15 cm skersmens,434,350,Daržove,Geltona"
"Briuselio kopustai,185,4.7,8.7,0.5,37,1 vnt.,19,10,Daržove,Geltona"
"Burokeliai,81,1.8,9.5,0.1,38,1 vnt.,81,100,Daržove,Geltona"
"Bulves,85,1.7,18.3,0.1,77,1 vnt.,60,70,Daržove,Geltona"
"Cukinijos,35,1.2,3.2,0.1,15,1 vnt. (20 cm ilgio),158,450,Daržove,Geltona"
"Cikorijos,59,1.3,2.3,0.2,17,1 vnt.,30,9,Daržove,Geltona"
"Cesnakai,183,6.2,28.0,0.3,128,1 skiltele,5,3,Daržove,Geltona"
"Baltieji kopustai,72,1.7,7.4,0.2,29,1 stikline pjaustytu,65,90,Daržove,Geltona"
"Raudonieji kopustai,80,1.9,6.7,0.2,27,1 stikline pjaustytu,72,90,Daržove,Geltona"
"Ropiniai kopustai,77,2.2,6.5,0.3,29,8 cm skersmens,154,200,Daržove,Geltona"
"Žiediniai kopustai,97,2.4,5.0,0.2,22,15 cm skersmens,485,500,Daržove,Geltona"
"Pekino kopustai,41,1.2,3.2,0.2,12,1 stikline pjaustytu,29,70,Daržove,Geltona"
"Garbanotieji kopustai,140,3.3,7.8,0.4,38,1 stikline pjaustytu,98,70,Daržove,Geltona"
"Rauginti kopustai,46,1.1,3.4,0.2,12,1 stikline,69,150,Daržove,Geltona"
"Kukuruzu burbuoles,108,3.7,23.4,1.5,110,1 vnt.,76,70,Daržove,Geltona"
"Kukuruzai (šaldyti),161,3.3,15.7,1.2,89,1 v.š.,24,15,Daržove,Geltona"
"Krienai,187,4.5,18.1,0.6,67,1 a.š.,28,15,Daržove,Geltona"
"Krapai,126,2.8,6.1,0.4,26,Pluoštelis,13,10,Daržove,Geltona"
"Morkos,35,1.0,8.7,0.2,27,1 vnt. 12 cm ilgio,18,50,Daržove,Geltona"
"Moliugai,47,1.3,7.7,0.3,28,1/2 puodelio tarkuotu,56,120,Daržove,Geltona"
"Pomidorai,23,0.9,3.6,0.2,15,1 mažas,12,50,Daržove,Geltona"
"Raudonosios paprikos,60,1.3,6.6,0.5,28,1 vnt. 14 cm ilgio,30,50,Daržove,Geltona"
"Žaliosios paprikos,42,1.1,4.6,0.3,18,1 vnt. 14 cm ilgio,21,50,Daržove,Geltona"
"Pastarnokai,45,1.3,2.9,0.4,22,1 vnt. 12 cm ilgio,23,11,Daržove,Geltona"
"Porai,134,2.2,5.7,0.3,24,1 vid. dydžio,147,200,Daržove,Geltona"
"Petražoles,200,4.4,9.0,0.4,41,1 a.š.,4,2,Daržove,Geltona"
"Pievagrybiai,107,2.7,2.6,0.4,17,1 mažas,40,37,Daržove,Geltona"
"Ropes,43,1.1,8.2,0.3,26,1 vnt.,43,100,Daržove,Geltona"
"Ridikeliai,49,1.1,2.9,0.2,14,1 vnt.,7,15,Daržove,Geltona"
"Rabarbarai,29,0.5,4.6,0.1,9,1 stiebas,44,150,Daržove,Geltona"
"Rugštynes,66,1.1,4.9,0.8,21,5 lapai,3,5,Daržove,Geltona"
"Salotos,91,1.4,2.9,0.2,14,1 didelis lapas,10,10,Daržove,Geltona"
"Salieru šaknys,92,1.6,7.7,0.3,21,1 vid.,239,260,Daržove,Geltona"
"Salieru stiebai,19,1.0,3.6,0.2,13,1 vnt.,19,100,Daržove,Geltona"
"Svogunai,62,1.4,6.9,0.4,30,1 vid.,50,80,Daržove,Geltona"
"Laiškiniai svogunai,253,4.1,3.9,0.8,29,2 vnt.,25,10,Daržove,Geltona"
"Šparagai,60,1.9,3.7,0.2,18,2 vnt.,21,35,Daržove,Geltona"
"Šparagines pupeles,123,2.4,7.6,0.2,27,10 ankšciu,74,60,Daržove,Geltona"
"Špinatai,157,2.6,3.0,0.4,16,1 v. š. virtu,63,40,Daržove,Geltona"
"Topinambai,85,2.4,4,0.4,31,1 vnt.,43,16,Daržove,Geltona"
"Trukažoles,97,1.7,8.7,0.2,21,1 vid.,73,75,Daržove,Geltona"
"Žalieji žirneliai,330,6.7,17.0,0.4,75,1 v. š.,33,10,Daržove,Raudona"
"Konservuoti žirneliai,227,4.9,15.8,0.2,63,1 v. š.,23,10,Daržove,Raudona"
"Abrikosai,52,0.8,12.0,0.2,49,1 vnt.,16,30,Vaisiai,Geltona"
"Arbuzai,22,0.7,6.0,0.2,27,1 skiltele,9,40,Vaisiai,Geltona"
"Ananasai,21,0.5,12.7,0.2,52,1 skiltele,4,20,Vaisiai,Geltona"
"Apelsinai,34,0.8,11,0.2,43,1 vnt.,51,150,Vaisiai,Geltona"
"Avietes,39,1.3,5.3,0.3,42,Stikline,59,150,Vaisiai,Geltona"
"Avokadas,65,1.9,0.4,20.2,188,1/2 vnt.,65,100,Vaisiai,Geltona"
"Braškes,24,0.9,9.7,0.4,41,Stikline,36,150,Vaisiai,Geltona"
"Bananai,45,1.3,23.1,0.3,97,1 vnt.,59,130,Vaisiai,Geltona"
"Citrinos,35,0.7,9.2,0.4,91,1 vnt.,25,70,Vaisiai,Geltona"
"Greipfrutai,53,0.6,10.0,0.2,38,1 vnt.,74,140,Vaisiai,Geltona"
"Kiviai,41,1.0,13.9,0.6,56,1 vnt.,21,50,Vaisiai,Geltona"
"Kriaušes,36,0.4,12.3,0.3,52,1 vnt.,29,80,Vaisiai,Geltona"
"Mandarinai,25,0.7,9.4,0.3,38,1 vnt.,9,35,Vaisiai,Geltona"
"Mangai,17,0.6,16.5,0.5,70,1 vnt.,23,135,Vaisiai,Geltona"
"Melionai,23,0.7,7.7,0.1,32,1 skiltele,9,40,Vaisiai,Geltona"
"Melynes,22,0.6,7,0.6,42,Stikline,33,150,Vaisiai,Geltona"
"Nektarinai,26,0.9,11.7,0.4,49,1 vnt.,21,80,Vaisiai,Geltona"
"Obuoliai,12,0.4,13.0,0.4,53,1 vnt.,10,80,Vaisiai,Geltona"
"Persikai,19,0.8,12.1,0.8,47,1 vnt.,15,80,Vaisiai,Geltona"
"Persimonai,26,0.5,18.5,0.1,70,1 vnt.,52,140,Vaisiai,Geltona"
"Slyvos,18,0.7,14.6,0.2,57,1 vnt.,4,20,Vaisiai,Geltona"
"Spanguoles,36,0.4,9.9,0.7,43,Stikline,72,200,Vaisiai,Geltona"
"Juodieji serbentai,34,1.2,17.2,0.3,52,Keke,5,15,Vaisiai,Geltona"
"Baltieji serbentai,25,0.7,13.8,0.2,37,Keke,4,15,Vaisiai,Geltona"
"Raudonieji serbentai,29,1.1,12.8,0.3,38,Keke,4,15,Vaisiai,Geltona"
"Trešnes,21,0.9,14.4,0.4,60,Stikline,36,170,Vaisiai,Geltona"
"Vynuoges,13,0.7,17.6,0.4,69,Maža keke,26,200,Vaisiai,Geltona"
"Vyšnios,19,1.0,12.2,0.6,51,Stikline,32,170,Vaisiai,Geltona"
"Žemuoges,24,0.8,6.3,0.4,35,Stikline,26,60,Vaisiai,Geltona"
"Dž. abrikosai,195,5.3,50,1,249,2 vnt.,20,25,Vaisiai,Raudona"
"Dž. bananai,145,3.5,61,0.6,281,5 vnt.,15,28,Vaisiai,Raudona"
"Dž. datules,57,2,66,0,285,3 vnt.,5.7,29,Vaisiai,Geltona"
"Dž. figos,120,3.5,55.1,1.3,250,2 vnt.,12,25,Vaisiai,Raudona"
"Dž. obuoliai,39,1.4,57,1.6,255,6 vnt.,3.9,26,Vaisiai,Geltona"
"Razinos,47,2.5,64,0.6,277,8 vnt.,4.7,28,Vaisiai,Geltona"
"Dž. slyvos,72,3.3,56.5,1.1,261,2 vnt.,7.2,26,Vaisiai,Geltona"
"Apelsinu sultys,26,0.6,9.9,0.1,43,Stikline,62,240,Vaisiai,Geltona"
"Juoduju serbentu sultys,8,0.3,12.7,0.1,53,Stikline,19,240,Vaisiai,Geltona"
"Greipfrutu sultys,13,0.5,9.2,0.1,40,Stikline,31,240,Vaisiai,Geltona"
"Obuoliu sultys,4,0.1,10.0,0.1,42,Stikline,10,240,Vaisiai,Geltona"
"Morku sultys,14,0.4,11.3,0.1,43,Stikline,34,240,Vaisiai,Geltona"
"Vynuogiu sultys,24,0.6,15.0,0,65,Stikline,58,240,Vaisiai,Geltona"
"Graikiniai riešutai,809,16.0,18.0,60.3,645,5 vnt.,81,10,Riešutai Seklos,Raudona"
"Lazdynu riešutai,485,14.4,14.9,63.0,640,10 vnt.,49,10,Riešutai Seklos,Raudona"
"Migdolai,955,20.0,20.5,52.0,572,10 vnt.,96,10,Riešutai Seklos,Raudona"
"Melynosios aguonos,800,20.1,24.9,42.9,478,1 a.š.,40,5,Riešutai Seklos,Raudona"
"Pistacijos,1038,20.5,25.0,48.5,589,5 vnt.,104,10,Riešutai Seklos,Raudona"
"Kokosai,158,3.4,15.2,33.5,355,1 a.š.,8,5,Riešutai Seklos,Raudona"
"Balt. pupeliu seklos,1232,21.4,61.6,1.6,288,1 v.š.,123,10,Riešutai Seklos,Raudona"
"Sausi žirniai - seklos,1172,23.8,60.2,1.4,293,1 v. š.,117,10,Riešutai Seklos,Raudona"
"Saulegražos,1140,24.2,24.6,43.7,561,1 a.š.,57,5,Riešutai Seklos,Raudona"
"Sezamai,1192,23.2,10.0,59.9,633,1 a.š.,60,5,Riešutai Seklos,Raudona"
"Avižiniai dribsniai,895,13.8,67.5,6.7,365,1 v.š. (sausu),72,8,Grudiniai,Raudona"
"Grikiu miltai,194,5.1,78.3,0.8,346,1 v.š.,49,25,Grudiniai,Geltona"
"Kukuruzu miltai,380,8.3,66.3,2.8,324,1 v.š.,95,25,Grudiniai,Raudona"
"Manu kruopos,616,10.3,74.8,1.0,360,1 v. Š. (sausu),62,10,Grudiniai,Raudona"
"Makaronai (be kiaušiniu),668,10.8,75.8,0.3,359,1 v. š. (sausu),100,15,Grudiniai,Raudona"
"Nepoliruoti ryžiai,360,7.1,76.8,1.9,337,1 v. š. (sausu),54,15,Grudiniai,Geltona"
"Rugiai,674,9.5,72.6,1.7,307,1 v. š. (sausu),67,10,Grudiniai,Raudona"
"Sago kruopos,30,0.6,84.9,0.2,344,1 v.š.,6,20,Grudiniai,Geltona"
"Karves pienas 3,2 % rieb.,147,3.3,4.8,3.2,61,1/2 stiklines,177,120,Pienas ir jo produktai,Raudona"
"Ožkos pienas,321,6.5,4.8,5.8,98,1/2 stiklines,385,120,Pienas ir jo produktai,Raudona"
"Kefyras 2,5 % rieb.,156,3.4,4.1,1.5,50,1/2 stiklines,187,120,Pienas ir jo produktai,Raudona"
"Grietine 30 % rieb.,153,2.4,3.1,30.0,293,1 v. š.,38,73,Pienas ir jo produktai,Geltona"
"Grietinele 10% rieb.,143,3.1,4.0,10.0,117,1/2 stiklines,172,120,Pienas ir jo produktai,Raudona"
"Grietinele 20% rieb.,129,2.8,3.6,20.0,203,1/2 stiklines,155,120,Pienas ir jo produktai,Raudona"
"Grietinele 35% rieb.,120,2.6,3.3,28.0,271,1/2 stiklines,144,120,Pienas ir jo produktai,Geltona"
"Fetos suris,799,17.0,0,18,8,263,-,64,8,Pienas ir jo produktai,Raudona"
"Kamambero suris,607,13.2,0,40.0,299,-,30,5,Pienas ir jo produktai,Raudona"
"Mocarela suris,927,18,2,20,280,-,278,30,Pienas ir jo produktai,Raudona"
"Rikotos suris,437,9.5,0.3,15.0,174,-,35,8,Pienas ir jo produktai,Raudona"
"Liesas jogurtas,202,4.3,4.2,0.1,63,-,253,125,Pienas ir jo produktai,Raudona"
"Riebi varške,414,9.0,3.2,10.3,143,1 a.š.,21,5,Pienas ir jo produktai,Raudona"
"Išrugos,28,0.8,4.8,0.3,25,Stikline,67,240,Pienas ir jo produktai,Geltona"
"Jautiena (malta),577,16.6,0,26.6,310,Mažas kukulis,346,60,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Kiauliena (malta),674,10.7,0,50,292,Mažas kukulis,404,60,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Kiauliena (liesa),855,18.9,0,6.3,133,5 cm skersmens ir 1 cm storio gabaliukas,214,25,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Kiaules lašiniai,117,2.4,0,89,810,5 cm skersmens ir 1 cm storio gabaliukas,23,20,Mesa Paukštiena Žuvis Kiaušiniai,Geltona"
"Kalakutiena (šviežia),845,17.5,0.2,6.2,127,5 cm skersmens ir 1 cm storio gabaliukas,211,25,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Namine antis (šviežia),459,13.5,0.2,28.4,310,5 cm skersmens ir 1 cm storio gabaliukas,115,25,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Vištienos file (šviežia),916,23.6,0.3,0.9,104,5 cm skersmens ir 1 cm storio gabaliukas,229,25,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Višciuku sparneliai(švieži),696,19.2,12.2,187,1 vnt.,278,40,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Višciuku kepenys(šviežios),824,20.2,1.2,4.0,122,2 vnt.,165,20,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Karpiai (Švieži),696,17.1,0.1,6.0,123,5 cm skersmens ir 1 cm storio gabaliukas,139,20,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Tunai (konservuoti aliejuje),1036,29.1,0,8.2,198,1/4 dežutes,311,30,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Lašišos,777,19.9,0,13.6,202,5 cm skersmens ir 1 cm storio gabaliukas,155,20,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Vištu kiaušiniai,737,12.7,0.8,11,152,1 vnt.,442,60,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Kiaušiniu tryniai,696,16.2,0.3,31.1,342,1 kiaušinio,104,15,Mesa Paukštiena Žuvis Kiaušiniai,Geltona"
"Kiaušiniu baltymai,667,10.7,0.8,0.2,48,1 kiaušinio,133,20,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Alyvu aliejus,0,0.1,0.2,99.5,883,1 a. š.,0,5,Aliejai Riebalai,Žalia"
"Margarinas,9,0.2,0.4,80.3,712,1 a. š.,0.4,5,Aliejai Riebalai,Žalia"
"Sviestas,31,0.7,0.6,82.8,737,1 a. š.,1,3,Aliejai Riebalai,Geltona"
"Saulegražu aliejus,0,0.1,0.1,99.8,884,1 a. š.,0,5,Aliejai Riebalai,Žalia"
"Žasu taukai,0,0,0,100,883,1 a. š.,0,3,Aliejai Riebalai,Žalia"
"Kakavos sviestas,0,0,0,99.6,880,1 a. š.,0,3,Aliejai Riebalai,Žalia"
"Palmiu kokosu riebalai,0,0,0,100,900,1 a. š.,0,3,Aliejai Riebalai,Žalia"
"Kiaules taukai,4,0.1,0,99.7,881,1 a. š.,0.1,3,Aliejai Riebalai,Žalia"
"Sezamu aliejus,9,0.2,0,99.7,881,1 a. š.,0.4,5,Aliejai Riebalai,Žalia"
"Soju aliejus,0,0,0,99.3,877,1 a. š.,0,5,Aliejai Riebalai,Žalia"
"Cukrus,0,0,99.8,0,405,1 nubrauktas a. š.,0,5,Cukrus Cukraus produktai Medus,Žalia"
"Biciu medus,0,0.3,79.5,0,324,1 a. š.,0,5,Cukrus Cukraus produktai Medus,Žalia"
"Apelsinu džemas,13,0.3,39.2,0.1,159,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Abrikosu džemas,11,0.4,38.8,0.1,157,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Braškiu džemas,10,0.3,37.8,0.1,153,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Juoduju serbentu džemas,13,0.5,39.6,0.1,152,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Persiku džemas,15,0.5,38.3,0.1,155,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Uogu džemas,16,0.3,38.2,0.2,153,1 nubrauktas a. š.,2,10,Cukrus Cukraus produktai Medus,Geltona"
"Slyvu marmeladas,31,1.0,53.0,0.2,214,1 nubrauktas a. š.,3,10,Cukrus Cukraus produktai Medus,Geltona"
"Slyvu džemas,9,0.3,37.9,0.1,153,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Vyšniu džemas,9,0.4,37.5,0.2,154,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Desertinis šokoladas,264,5.3,64.0,28.9,513,1 a. š.,13,5,Cukrus Cukraus produktai Medus,Raudona"
"Juodasis šokoladas,334,6.7,56.6,34.3,554,Gabaliukas,17,5,Cukrus Cukraus produktai Medus,Raudona"
"Pieniškasis šokoladas,465,9.8,54.7,32.8,549,Gabaliukas,23,5,Cukrus Cukraus produktai Medus,Raudona"
"Irisai (saldainiai),196,4.3,76.1,10.7,421,1 vnt.,17,8,Cukrus Cukraus produktai Medus,Raudona"
"Garstycios,240,5.2,0,0,240,1 a.š.,12,5,Kiti maisto produktai,Raudona"
"Pomidoru padažas(kecupas),62,1.8,22.2,1.0,93,1 a. š.,3,5,Kiti maisto produktai,Geltona"
"Pomidoru koncentratas 30%,166,5.6,16.7,1.5,92,1 a. š.,8,5,Kiti maisto produktai,Geltona"
"Kakavos milteliai 16 %,872,18.2,50.6,21.7,448,1 a. š.,44,5,Kiti maisto produktai,Raudona"
"Mieles,1861,14.8,8.0,1.3,76,1 a. š.,93,5,Kiti maisto produktai,Raudona"
"Želatina,1737,89.5,0,0,263,1 a. š.,87,5,Kiti maisto produktai,Raudona"
"Bulviu traškuciai,318,7.1,66.9,20.8,471,1 vnt.,13,4,Kiti maisto produktai,Raudona"
"Ryžiu pienas,5,0.1,9.4,1,70,Stikline,10,140,Kiti maisto produktai,Geltona"
"Majonezas,39,1.2,8.5,32.5,334,1 a.š.,2,5,Kiti maisto produktai,Geltona"
